Assembly	final_contigs
# contigs (>= 0 bp)	54
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	3821
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	27
Largest contig	234
Total length	2807
Reference length	413236019
GC (%)	52.16
Reference GC (%)	45.06
N50	136
N75	67
L50	8
L75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	23 + 0 part
Unaligned length	2138
Genome fraction (%)	0.000
Duplication ratio	1.225
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3296.70
# indels per 100 kbp	0.00
Largest alignment	182
Total aligned length	546
NGA50	-
